ID,PARENTID,RELATION
sdg.g01,sdg.a.res.71.313a,has_goals
sdg.g02,sdg.a.res.71.313a,has_goals
sdg.g03,sdg.a.res.71.313a,has_goals
sdg.g04,sdg.a.res.71.313a,has_goals
sdg.g05,sdg.a.res.71.313a,has_goals
sdg.g06,sdg.a.res.71.313a,has_goals
sdg.g07,sdg.a.res.71.313a,has_goals
sdg.g08,sdg.a.res.71.313a,has_goals
sdg.g09,sdg.a.res.71.313a,has_goals
sdg.g10,sdg.a.res.71.313a,has_goals
sdg.g11,sdg.a.res.71.313a,has_goals
sdg.g12,sdg.a.res.71.313a,has_goals
sdg.g13,sdg.a.res.71.313a,has_goals
sdg.g14,sdg.a.res.71.313a,has_goals
sdg.g15,sdg.a.res.71.313a,has_goals
sdg.g16,sdg.a.res.71.313a,has_goals
sdg.g17,sdg.a.res.71.313a,has_goals
sdg.g01.t0101,sdg.g01,has_target
sdg.g01.t0102,sdg.g01,has_target
sdg.g01.t0103,sdg.g01,has_target
sdg.g01.t0104,sdg.g01,has_target
sdg.g01.t0105,sdg.g01,has_target
sdg.g01.t010a,sdg.g01,has_target
sdg.g01.t010b,sdg.g01,has_target
sdg.g02.t0201,sdg.g02,has_target
sdg.g02.t0202,sdg.g02,has_target
sdg.g02.t0203,sdg.g02,has_target
sdg.g02.t0204,sdg.g02,has_target
sdg.g02.t0205,sdg.g02,has_target
sdg.g02.t020a,sdg.g02,has_target
sdg.g02.t020b,sdg.g02,has_target
sdg.g02.t020c,sdg.g02,has_target
sdg.g03.t0301,sdg.g03,has_target
sdg.g03.t0302,sdg.g03,has_target
sdg.g03.t0303,sdg.g03,has_target
sdg.g03.t0304,sdg.g03,has_target
sdg.g03.t0305,sdg.g03,has_target
sdg.g03.t0306,sdg.g03,has_target
sdg.g03.t0307,sdg.g03,has_target
sdg.g03.t0308,sdg.g03,has_target
sdg.g03.t0309,sdg.g03,has_target
sdg.g03.t030a,sdg.g03,has_target
sdg.g03.t030b,sdg.g03,has_target
sdg.g03.t030c,sdg.g03,has_target
sdg.g03.t030d,sdg.g03,has_target
sdg.g04.t0401,sdg.g04,has_target
sdg.g04.t0402,sdg.g04,has_target
sdg.g04.t0403,sdg.g04,has_target
sdg.g04.t0404,sdg.g04,has_target
sdg.g04.t0405,sdg.g04,has_target
sdg.g04.t0406,sdg.g04,has_target
sdg.g04.t0407,sdg.g04,has_target
sdg.g04.t040a,sdg.g04,has_target
sdg.g04.t040b,sdg.g04,has_target
sdg.g04.t040c,sdg.g04,has_target
sdg.g05.t0501,sdg.g05,has_target
sdg.g05.t0502,sdg.g05,has_target
sdg.g05.t0503,sdg.g05,has_target
sdg.g05.t0504,sdg.g05,has_target
sdg.g05.t0505,sdg.g05,has_target
sdg.g05.t0506,sdg.g05,has_target
sdg.g05.t050a,sdg.g05,has_target
sdg.g05.t050b,sdg.g05,has_target
sdg.g05.t050c,sdg.g05,has_target
sdg.g06.t0601,sdg.g06,has_target
sdg.g06.t0602,sdg.g06,has_target
sdg.g06.t0603,sdg.g06,has_target
sdg.g06.t0604,sdg.g06,has_target
sdg.g06.t0605,sdg.g06,has_target
sdg.g06.t0606,sdg.g06,has_target
sdg.g06.t060a,sdg.g06,has_target
sdg.g06.t060b,sdg.g06,has_target
sdg.g07.t0701,sdg.g07,has_target
sdg.g07.t0702,sdg.g07,has_target
sdg.g07.t0703,sdg.g07,has_target
sdg.g07.t070a,sdg.g07,has_target
sdg.g07.t070b,sdg.g07,has_target
sdg.g08.t0801,sdg.g08,has_target
sdg.g08.t0802,sdg.g08,has_target
sdg.g08.t0803,sdg.g08,has_target
sdg.g08.t0804,sdg.g08,has_target
sdg.g08.t0805,sdg.g08,has_target
sdg.g08.t0806,sdg.g08,has_target
sdg.g08.t0807,sdg.g08,has_target
sdg.g08.t0808,sdg.g08,has_target
sdg.g08.t0809,sdg.g08,has_target
sdg.g08.t0810,sdg.g08,has_target
sdg.g08.t080a,sdg.g08,has_target
sdg.g08.t080b,sdg.g08,has_target
sdg.g09.t0901,sdg.g09,has_target
sdg.g09.t0902,sdg.g09,has_target
sdg.g09.t0903,sdg.g09,has_target
sdg.g09.t0904,sdg.g09,has_target
sdg.g09.t0905,sdg.g09,has_target
sdg.g09.t090a,sdg.g09,has_target
sdg.g09.t090b,sdg.g09,has_target
sdg.g09.t090c,sdg.g09,has_target
sdg.g10.t1001,sdg.g10,has_target
sdg.g10.t1002,sdg.g10,has_target
sdg.g10.t1003,sdg.g10,has_target
sdg.g10.t1004,sdg.g10,has_target
sdg.g10.t1005,sdg.g10,has_target
sdg.g10.t1006,sdg.g10,has_target
sdg.g10.t1007,sdg.g10,has_target
sdg.g10.t100a,sdg.g10,has_target
sdg.g10.t100b,sdg.g10,has_target
sdg.g10.t100c,sdg.g10,has_target
sdg.g11.t1101,sdg.g11,has_target
sdg.g11.t1102,sdg.g11,has_target
sdg.g11.t1103,sdg.g11,has_target
sdg.g11.t1104,sdg.g11,has_target
sdg.g11.t1105,sdg.g11,has_target
sdg.g11.t1106,sdg.g11,has_target
sdg.g11.t1107,sdg.g11,has_target
sdg.g11.t110a,sdg.g11,has_target
sdg.g11.t110b,sdg.g11,has_target
sdg.g11.t110c,sdg.g11,has_target
sdg.g12.t1201,sdg.g12,has_target
sdg.g12.t1202,sdg.g12,has_target
sdg.g12.t1203,sdg.g12,has_target
sdg.g12.t1204,sdg.g12,has_target
sdg.g12.t1205,sdg.g12,has_target
sdg.g12.t1206,sdg.g12,has_target
sdg.g12.t1207,sdg.g12,has_target
sdg.g12.t1208,sdg.g12,has_target
sdg.g12.t120a,sdg.g12,has_target
sdg.g12.t120b,sdg.g12,has_target
sdg.g12.t120c,sdg.g12,has_target
sdg.g13.t1301,sdg.g13,has_target
sdg.g13.t1302,sdg.g13,has_target
sdg.g13.t1303,sdg.g13,has_target
sdg.g13.t130a,sdg.g13,has_target
sdg.g13.t130b,sdg.g13,has_target
sdg.g14.t1401,sdg.g14,has_target
sdg.g14.t1402,sdg.g14,has_target
sdg.g14.t1403,sdg.g14,has_target
sdg.g14.t1404,sdg.g14,has_target
sdg.g14.t1405,sdg.g14,has_target
sdg.g14.t1406,sdg.g14,has_target
sdg.g14.t1407,sdg.g14,has_target
sdg.g14.t140a,sdg.g14,has_target
sdg.g14.t140b,sdg.g14,has_target
sdg.g14.t140c,sdg.g14,has_target
sdg.g15.t1501,sdg.g15,has_target
sdg.g15.t1502,sdg.g15,has_target
sdg.g15.t1503,sdg.g15,has_target
sdg.g15.t1504,sdg.g15,has_target
sdg.g15.t1505,sdg.g15,has_target
sdg.g15.t1506,sdg.g15,has_target
sdg.g15.t1507,sdg.g15,has_target
sdg.g15.t1508,sdg.g15,has_target
sdg.g15.t1509,sdg.g15,has_target
sdg.g15.t150a,sdg.g15,has_target
sdg.g15.t150b,sdg.g15,has_target
sdg.g15.t150c,sdg.g15,has_target
sdg.g16.t1601,sdg.g16,has_target
sdg.g16.t1602,sdg.g16,has_target
sdg.g16.t1603,sdg.g16,has_target
sdg.g16.t1604,sdg.g16,has_target
sdg.g16.t1605,sdg.g16,has_target
sdg.g16.t1606,sdg.g16,has_target
sdg.g16.t1607,sdg.g16,has_target
sdg.g16.t1608,sdg.g16,has_target
sdg.g16.t1609,sdg.g16,has_target
sdg.g16.t1610,sdg.g16,has_target
sdg.g16.t160a,sdg.g16,has_target
sdg.g16.t160b,sdg.g16,has_target
sdg.g17.t1701,sdg.g17,has_target
sdg.g17.t1702,sdg.g17,has_target
sdg.g17.t1703,sdg.g17,has_target
sdg.g17.t1704,sdg.g17,has_target
sdg.g17.t1705,sdg.g17,has_target
sdg.g17.t1706,sdg.g17,has_target
sdg.g17.t1707,sdg.g17,has_target
sdg.g17.t1708,sdg.g17,has_target
sdg.g17.t1709,sdg.g17,has_target
sdg.g17.t1710,sdg.g17,has_target
sdg.g17.t1711,sdg.g17,has_target
sdg.g17.t1712,sdg.g17,has_target
sdg.g17.t1713,sdg.g17,has_target
sdg.g17.t1714,sdg.g17,has_target
sdg.g17.t1715,sdg.g17,has_target
sdg.g17.t1716,sdg.g17,has_target
sdg.g17.t1717,sdg.g17,has_target
sdg.g17.t1718,sdg.g17,has_target
sdg.g17.t1719,sdg.g17,has_target
